participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,pannel_a,unnamed_3,unnamed_4,pannel_b,unnamed_6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eye-Target dist (cm),Cursor-Target dist (cm),NaN,Eye-Target lag (ms),Cursor-Target lag (ms)
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,averaged over 10 trials,averaged over 10 trials,NaN,averaged over 10 trials,averaged over 10 trials
NaN,NaN,NaN,NaN,NaN,S1,M,1.4952770799999997,1.51440558,NaN,64,57.3
NaN,NaN,NaN,NaN,NaN,S2,M,1.30516014,1.40355987,NaN,58.9,43.2
NaN,NaN,NaN,NaN,NaN,S3,M,1.0081471159999997,1.4596414500000001,NaN,32.5,15.2
NaN,NaN,NaN,NaN,NaN,S4,M,1.34281485,1.2346488839999998,NaN,40.5,17.1
NaN,NaN,NaN,NaN,NaN,S5,M,0.7940532759999999,0.876035231,NaN,32.3,18.4
NaN,NaN,NaN,NaN,NaN,S6,M,1.41054749,1.72306555,NaN,64.3,60.3
NaN,NaN,NaN,NaN,NaN,S7,M,1.2844374799999998,1.42718074,NaN,51.4,56
NaN,NaN,NaN,NaN,NaN,S8,M,1.39979776,1.4543363299999998,NaN,49.6,44.3
NaN,NaN,NaN,NaN,NaN,S9,M,1.2500483400000002,1.9011736199999998,NaN,65.5,93.9
NaN,NaN,NaN,NaN,NaN,S10,M,1.60097171,2.0145408700000003,NaN,82.5,90.1
NaN,NaN,NaN,NaN,NaN,S11,M,1.33892952,1.90994119,NaN,62.8,80.2
NaN,NaN,NaN,NaN,NaN,S12,M,0.790068939,1.3604040199999998,NaN,37,46.7
NaN,NaN,NaN,NaN,NaN,S13,M,1.55124315,1.8271686200000001,NaN,76.2,24.7
NaN,NaN,NaN,NaN,NaN,S14,M,1.18542945,1.46802116,NaN,60.2,34.9
NaN,NaN,NaN,NaN,NaN,S15,M,1.90804237,1.3425099799999998,NaN,57.3,56.9
NaN,NaN,NaN,NaN,NaN,S16,M,1.55577649,1.4043983500000001,NaN,48.8,46.8
NaN,NaN,NaN,NaN,NaN,S17,M,1.37863436,1.6531549899999998,NaN,57.4,59.1
NaN,NaN,NaN,NaN,NaN,S18,M,1.48320564,1.9771147199999999,NaN,62.8,75.1
NaN,NaN,NaN,NaN,NaN,S19,M,1.37728842,1.8467693600000001,NaN,56.1,34.9
NaN,NaN,NaN,NaN,NaN,S20,M,1.4496362600000001,1.46687492,NaN,63.8,36.5
NaN,NaN,NaN,NaN,NaN,S21,M,1.38981394,1.68987129,NaN,57.8,36.4
NaN,NaN,NaN,NaN,NaN,S22,M,1.8032748399999998,1.6184653399999998,NaN,80.1,61.6
NaN,NaN,NaN,NaN,NaN,S23,M,1.5966498900000001,1.67219579,NaN,58,57.7
NaN,NaN,NaN,NaN,NaN,S24,M,1.6299547300000001,2.31801217,NaN,67,45.4
NaN,NaN,NaN,NaN,NaN,S25,M,1.3067873200000002,1.88332513,NaN,62.1,29.9
NaN,NaN,NaN,NaN,NaN,S26,F,1.112202082,1.2927168699999998,NaN,39.7,47.5
NaN,NaN,NaN,NaN,NaN,S27,F,1.027074878,1.34914285,NaN,40.7,48.4
NaN,NaN,NaN,NaN,NaN,S28,F,1.7570612999999997,2.1345525800000003,NaN,89.9,103.7
NaN,NaN,NaN,NaN,NaN,S29,F,0.9320818259999999,1.44408924,NaN,43.6,63.4
NaN,NaN,NaN,NaN,NaN,S30,F,1.55585365,1.7540152500000001,NaN,70.5,82.8
NaN,NaN,NaN,NaN,NaN,S31,F,1.2934404,1.56481366,NaN,46.7,56
NaN,NaN,NaN,NaN,NaN,S32,F,2.0009509899999998,2.16957117,NaN,60.4,76.5
NaN,NaN,NaN,NaN,NaN,S33,F,1.77294342,2.6664057100000003,NaN,63,91.5
NaN,NaN,NaN,NaN,NaN,S34,F,1.0260281609999997,1.59838726,NaN,48.8,48.9
NaN,NaN,NaN,NaN,NaN,S35,F,1.5103629,1.6377870900000002,NaN,59.8,54.5
NaN,NaN,NaN,NaN,NaN,S36,F,1.44763311,1.98867538,NaN,68.1,84
NaN,NaN,NaN,NaN,NaN,S37,F,2.01605117,2.65228107,NaN,92.9,120
NaN,NaN,NaN,NaN,NaN,S38,F,1.1328528600000003,1.7372807299999997,NaN,46.1,69.9
NaN,NaN,NaN,NaN,NaN,S39,F,0.9716841170000002,1.3072692799999999,NaN,41.8,46.4
NaN,NaN,NaN,NaN,NaN,S40,F,1.25735776,1.8751206099999997,NaN,58.8,71.2
NaN,NaN,NaN,NaN,NaN,S41,F,1.1440761700000004,1.59632159,NaN,56.7,65.5
NaN,NaN,NaN,NaN,NaN,S42,F,1.65478632,2.0746716800000002,NaN,76.7,55.9
NaN,NaN,NaN,NaN,NaN,S43,F,1.35858268,1.4254823799999998,NaN,54.8,46.8
NaN,NaN,NaN,NaN,NaN,S44,F,1.28728344,2.00815436,NaN,67.4,64.9
NaN,NaN,NaN,NaN,NaN,S45,F,1.4437171100000001,1.9837794900000003,NaN,79.3,99.3
NaN,NaN,NaN,NaN,NaN,S46,F,1.6156929300000002,2.3050326400000003,NaN,62.1,76.1
NaN,NaN,NaN,NaN,NaN,S47,F,1.3425756199999999,1.5697099599999997,NaN,53.9,42
NaN,NaN,NaN,NaN,NaN,S48,F,1.3604578000000003,2.80595798,NaN,63.2,140.9
NaN,NaN,NaN,NaN,NaN,S49,F,2.74987484,1.97936939,NaN,67.5,56.7
NaN,NaN,NaN,NaN,NaN,S50,F,1.30432836,1.85107891,NaN,57.3,73.5
